Tweet,Polarity,Subjectivity
"RT @CBSNews: While meeting with auto executives, Pres. Trump claims current U.S. environmental permit process is ""unfriendly"" https://t.co/…",0.0,0.4
This week the issue is not Trump. It is ourselves.  #US  https://t.co/34hI8pjFhv,0.0,0.0
"RT @CNBC: BREAKING: President Trump to advance the Keystone and Dakota Access pipelines with executive orders today, senior official tells…",0.0,0.0
RT @LoveStephanysco: SNL Writer Katie Rich FIRED After Disgusting Tweet About Barron Trump https://t.co/7XHFMg8MkH https://t.co/x5ydDE2CHY,-0.3125,0.875
"Another day, another round of Senate confirmation hearings for Team Trump. https://t.co/oFXpEuZ2Of",-0.2,0.4
RT @WesleyLowery: this deserves more coverage than it's gotten: journalists arrested covering inauguration protests charged w/FELONIES http…,0.5,0.5
RT @ggreenwald: Amazing how Dem pundits angrily attacked Sanders for his long-standing TPP position but are now silent on 14 Dems approving…,0.03333333333333336,0.6666666666666666
Donald Trump: STOP THE KILLING IN TAIJI!! - Assine o abaixo-assinado! https://t.co/hr7hC84pnZ,0.0,0.0
"RT @TheDemCoalition: BREAKING: Trump expected to sign executive actions to advance Keystone, Dakota Access pipelines https://t.co/eDWrtBZkna",-0.1,0.4
RT @The_Trump_Train: RETWEET if you like how President Trump is already delivering results! #MakeAmericaGreatAgain,0.0,0.0
RT @ajplus: The Donald Trump era has begun and it's already off to a troubling start for Palestine. https://t.co/AHnzbjxJZN,0.0,0.0
RT @Drone1969: @SecretService @NewYorkFBI @FBIWFO @FBI @DHSgov @NSAGov @MSNBC @maddow Rachel Maddow subversive support for Trump Assasinati…,0.0,0.0
RT @Breaking911: WATCH: Angry Liberal Kicked Off Plane For Harassing Trump Supporter - https://t.co/aOp8yg5uI7 https://t.co/s0GDbDinMe,-0.5,1.0
RT @guardian: This photo sums up Trump’s assault on women’s rights | Rhiannon Lucy Cosslett https://t.co/ouO95hVDrq,0.0,0.0
"RT @wikileaks: Donald Trump, the casino business &amp; the FBI https://t.co/7Cp1MW8lEC",0.0,0.0
RT @TruthFeedNews: SNL Writer Suspended For Verbally Assaulting Innocent 10-Year-Old Barron Trump https://t.co/Og6wLcEWIu #TrumpTrain #Trum…,0.5,0.7
RT @theblaze: Female Trump supporter's hair set on fire at D.C. protests https://t.co/QK0P92EDZe https://t.co/8bBq5ajLAZ,0.0,0.16666666666666666
"RT @PolitiFact: Pres. Trump revives claim about millions of illegal votes for Clinton. There's no proof, zero, zilch. https://t.co/hYMrWxVL…",-0.5,0.5
"Lawsuit Says Trump Already In Violation Of Constitution, Days After Inauguration https://t.co/xv7kH6UXBW via @ringoffireradio",0.0,0.0
RT @ezlusztig: It's Day 5 of the Trump presidency. How are we already here? https://t.co/R7fKY4XxTa,0.0,0.0
RT @ddale8: The Post flags another false claim by Trump. He's up to seven in four days as president. https://t.co/oVzdRZtXsH,-0.4000000000000001,0.6
@JodyColley @TheRocketGuy @realDonaldTrump obama road on the back of bush. And then on the Back of President Trump https://t.co/U0T8l04Zlp,0.0,0.0
Defense: What Trump’s Cabinet Picks Tel .. #TISNews Link - https://t.co/n3jTjQKbGC,0.0,0.0
"RT @Evan_McMullin: Trump's Patriotic Devotion Day resembles North Korea's Generalissimo Day. By ""patriotism,"" he means loyalty to him. http…",0.0,0.0
"RT @GayTimesMag: Trump administration ‘doesn’t know’ if LGBT+ rights protections will be removed.

https://t.co/IrvMXccQB4 https://t.co/Aex…",0.0,0.0
@michellemalkin You Cant Even Show Your Ass For Trump No More? #MAGA I Still Do! https://t.co/u6KEuOS4VH,-0.3125,0.5
"RT @CBSThisMorning: ""The Chinese are now negotiating their own version of TPP… not good for the US."" -- @SenJohnMcCain on Trump’s withdrawa…",0.08333333333333333,0.5333333333333333
@BWMudd @NikkiGlaser Trump may not want to draw attention to his kid's autism.,0.0,0.0
"RT @markknoller: Pres Trump tells auto execs he'll turn the business climate for their companies from ""very inhospitable to extremely hospi…",0.037500000000000006,0.65
Key claims in Trump dossier said to come from head of a Russian-American business group  https://t.co/JsQXKF5LIx https://t.co/FEzd2OQE0j,0.0,1.0
"RT @CNBC: BREAKING: President Trump to advance the Keystone and Dakota Access pipelines with executive orders today, senior official tells…",0.0,0.0
"RT @SuzanneKelleher: @NormOrnstein Norm, isn't Trump an investor in Keystone XL and Dakota Access pipelines? Isn't his promotion of pipelin…",0.0,0.0
RT @JohnKStahlUSA: Bernie is really struggling with the Trump Era. He doesn't understand working for a living and paying for stuff. #tcot #…,0.2,0.2
"RT @DaveWeasel: Kanye: nice to meet you

Trump: I just made you head of HUD

Kanye: I'm not Ben Carson

Trump: my bad, Mr. Obama https://t.…",-0.04999999999999993,0.8333333333333333
Guardian News Headline Compares Trump to Kim Jong-un for 'Day of Patriotic Devotion' Proclamation - https://t.co/mkhVzpZRLL,0.0,0.0
"RT @JohnFugelsang: Trump should be grateful for #WomensMarchOnWashington as it's the largest crowd that will ever, ever turn  out in his ho…",0.0,0.0
RT @edyong209: “What do want? Data! When do we want it? Forever!” https://t.co/P0aQ6mjRqW,0.0,0.0
RT @co_rapunzel4: 1 out of every 100 Americans was on the streets marching against Trump on Saturday; it was the biggest organized protest…,0.0,0.0
"RT @We3forDemocracy: JFK's War with the National Security Establishment: Why Kennedy was assassinated.
(Will they assassinate Trump too.) h…",0.0,0.0
"RT @NkirukaNistoran: #WomenMarch is it a crime for Biafrans to support,celebrate Trump's #Inauguration condemn their killing by Nigeria  ht…",0.0,0.0
"RT @igorvolsky: This news literally broke just as Donald Trump was describing himself as ""an environmentalist"" in a meeting with auto maker…",0.0,0.0
RT @3lectric5heep: Wynonna Judd SLAMS Her Sister Ashley’s Manic Rant Against Trump https://t.co/d9ChKvJsu7 @3lectric5heep,0.0,0.0
"RT @jbendery: Asked Spicer how Trump plans to respond to climate change threatening human civilization. ""He's going to meet with his team.""",0.0,0.1
@SandraTXAS @nia4_trump @LeahR77 @AmyMek @2ALAW They can take Muslim people seeking MUSLIM LIFE N 2  SAUDI ARABIA=HAVE  $ &amp; CULTURAL VALUES.,0.1,0.1
"RT @Martina: The propaganda coming out of trump, Spicer, Conway et al is textbook communist BS we got growing up. The similarity is quite c…",-0.1,0.1
"RT @ConstanceQueen8: LMAO😂😂😂
Once Sent It's Out There
Screen Shots 
Can't Be Deleted
Appalled By Your
Lack Of Respect
Hollywood Grow Up
Tru…",-0.8,1.0
"RT @BBCR1: A video of women singing the song together has been viewed over 12 million times 🎶

https://t.co/MKZopEwBcB",0.0,0.0
"Trump want to favour Americans,Buhari want to favour Chinese.when will Africans start learning to do things by themselves for themselves?!",0.0,0.0
@officialDIN @jduffyrice you tweeting about trump does absolutely nothing for the world,0.2,0.9
RT @katiecouric: President Trump again said millions voted illegally. It's still not true https://t.co/P6SS1VXXrR via @TIME,-0.3375,0.575
